Modelo,Accuracy,AUC-ROC,Precision,Recall,Specificity,F1-Score,MCC,Cohen Kappa
Stacking Ensemble,0.6358,0.6941288397556402,0.6308488750248888,0.639249445154348,0.6324102835238914,0.6350213789417424,0.2716520784799335,0.27162841296630846
XGBoost (Tuned),0.6363333333333333,0.6936360621709462,0.632186978297162,0.6366937924540992,0.6359791157226885,0.6344323817182683,0.2726628881443836,0.2726560797718277
LightGBM (Tuned),0.6343,0.6930251422420711,0.6299679914643905,0.6353487120855471,0.6332694468310092,0.6326469110999497,0.26860792436900194,0.26859829664669976
Random Forest (Tuned),0.6225333333333334,0.6779699450765664,0.6162981431664589,0.6317169950904566,0.613508690767299,0.6239123214878778,0.2452479897902378,0.24517258069535497
Logistic Regression,0.5868666666666666,0.6238593468900088,0.5840179238237491,0.5785190665142242,0.5950697244068469,0.5812554902358268,0.17361050682280635,0.17360294256917397
SVM (Linear),0.5871,0.6237012903904195,0.5843070652173913,0.5784518124957966,0.5955984402881501,0.581364696339856,0.17407394534621115,0.17406535429864745
