Modelo,Accuracy,AUC-ROC,Precision,Recall (Sensitivity),Specificity,F1-Score,MCC,Cohen Kappa,FPR,FNR
LightGBM,0.6453666666666666,0.7023618232499946,0.641851106639839,0.643620956352142,0.6470821492300575,0.6427348131233419,0.29069725184399764,0.29069616581242186,0.3529178507699425,0.35637904364785794
XGBoost,0.6429333333333334,0.700857941880625,0.640070085585282,0.6387786670253548,0.6470160597448946,0.6394237242493604,0.28580029082777836,0.2857997191194487,0.35298394025510543,0.36122133297464526
Random Forest,0.6277666666666667,0.6836307457210102,0.6212816144673045,0.6377026027305132,0.6180027757583768,0.629385018751452,0.2557346401423986,0.25564687861258784,0.38199722424162313,0.36229739726948684
SVM (Linear),0.6066,0.6469360358636065,0.607245261906427,0.5839666420068599,0.6288414513250942,0.595378496982995,0.21303273700089248,0.21287874608058366,0.37115854867490583,0.41603335799314006
Logistic Regression,0.5868333333333333,0.6166222882448381,0.5872109419063734,0.5601587194834892,0.6130460643711585,0.5733659174611916,0.17345502656904843,0.17327389460550113,0.38695393562884145,0.43984128051651084
