Feature,MI_Score
months,0.01947334746291718
eqpdays,0.017211085373311175
recency_score,0.01684730415522906
kid6_10_freq,0.016558127697634983
log_eqpdays,0.016412325520885007
infobase_freq,0.015876855028413406
hnd_webcap,0.01463217252304605
mou_trend,0.013450538381718502
mou_rev_trend_divergence,0.012988566815836489
months_x_mou_trend,0.012711463296240844
kid3_5_freq,0.012562481330814723
creditcd_freq,0.012290292882223719
dualband,0.012254530337437508
totmrc_Mean,0.012198088644155725
dwlltype_freq,0.011865910590999729
dwllsize_freq,0.011692862232195012
channel_diversity,0.010843717148657284
kid0_2_freq,0.010162960606785232
HHstatin_freq,0.009948774240995828
new_cell_freq,0.009892293103078487
models,0.009556880313756233
ownrent_freq,0.009218704607554917
mou_momentum,0.0087067083687975
asl_flag_freq,0.008619706543442796
hnd_webcap_freq,0.008561578310354756
refurb_new_freq,0.008354258973610529
dualband_freq,0.008319496458629505
ethnic_freq,0.007852750909566275
actvsubs,0.007539527111892763
hnd_price,0.007528029908606904
creditcd,0.007453494793129289
rev_x_months,0.007411024877296057
rfm_composite,0.007065869792341584
qty_momentum,0.006953276127716901
monetary_score,0.006495851167233502
rev_per_call,0.006468690306477898
kid16_17_freq,0.006279035866380456
dwlltype,0.006243734451474969
rev_per_mou,0.006213883910964668
income,0.006138678078171589
completion_rate,0.006084042049332883
mrc_per_mou,0.006000722876650766
crclscod_freq,0.005762559884141316
mouowylisv_Mean,0.005151758362634373
HHstatin,0.005000516362666074
dwllsize,0.00492693974946401
log_mou_Mean,0.004880225422288387
phones,0.004638037583645005
mouiwylisv_Mean,0.004616673561100848
usage_cliff,0.004578364255652723
log_rev_Mean,0.004535505172228671
new_cell,0.004520758696714422
totrev,0.0044493075765803525
kid11_15_freq,0.004394050990945253
change_mou,0.004340763016922988
custcare_per_month,0.004289761240846346
mou_offpeak_share,0.00421592963842965
rev_Mean,0.004181936766175509
mrc_x_completion,0.004079632294091917
log_totmou,0.003956007662712313
log_totrev,0.003940607978534905
avg3qty,0.0038651983316613236
avg6qty,0.003857428405982022
marital_freq,0.0038339184517754976
owylis_vce_Mean,0.0037004923809689227
adjrev,0.0036804400022176775
plcd_vce_Mean,0.0036106738584469333
avg3rev,0.0035339025064071716
ovr_x_months,0.003519366619232134
prizm_social_one_freq,0.003507390350616424
asl_flag,0.003494146940255849
frequency_score,0.003447247446709323
eqpdays_x_problem,0.0033766217592199332
opk_dat_Mean,0.003218551200162567
avgqty,0.0031612916683281256
lor,0.003102642160154989
rev_momentum,0.0030701351549602407
uniqsubs,0.0029196012145464856
mou_cvce_Mean,0.0028979026178947986
marital,0.0027751117572230033
mou_Mean,0.002655801179473949
ownrent,0.002654540762897506
change_rev,0.0026352843343691035
ovrrev_Mean,0.0026208282597461885
crclscod,0.0025483587270735963
unan_vce_Mean,0.0024788947898752856
rev_trend,0.0024735200841961014
mou_peav_Mean,0.0024042606551057943
custcare_Mean,0.0023835660715982865
mou_rvce_Mean,0.002347274987464454
ethnic,0.00231509940369401
area,0.002268606164686826
avgrev,0.0022035982344728033
area_freq,0.0021817047717449523
refurb_new,0.002154147940798712
avgmou,0.002088904934529623
peak_offpeak_ratio,0.0020770229852262734
log_custcare_Mean,0.0020311761510587445
peak_vce_Mean,0.0019646477916381855
log_ovrmou_Mean,0.0019512613046996918
blocked_rate,0.001947001869159637
mou_opkv_Mean,0.0019111888711516034
ovr_ratio,0.0019049487679689836
unanswered_rate,0.001801776232811747
problem_score,0.0015768689180892803
mou_cdat_Mean,0.001551939742558739
da_Mean,0.0015182291833681916
rv,0.0013953533147696984
blck_dat_Mean,0.0013679470209115863
drop_vce_Mean,0.0012848866008905446
adjmou,0.0012829883039944256
attempt_Mean,0.0012540051632488058
inonemin_Mean,0.001231145380360843
adjqty,0.0012304832128502419
avg3mou,0.0012052585834445573
inbound_outbound_ratio,0.0010029055790847785
drop_rate,0.0009874806107577072
infobase,0.000952922070487805
forgntvl,0.0008014055929446151
comp_vce_Mean,0.0006638681044184302
experience_balance,0.0006620455992685237
drop_blk_Mean,0.000566259332323682
recv_vce_Mean,0.0005660126459769987
kid3_5,0.0004979123083068693
adults,0.00046407008879501
iwylis_vce_Mean,0.00043708343957526985
avg6rev,0.000412753027230206
avg6mou,0.0002944164086531309
ovrmou_Mean,0.00027985646379757867
comp_dat_Mean,0.00024088825056467478
callwait_Mean,0.00022322614048664313
kid6_10,0.0002168600978700308
mou_peak_share,0.00020673257605530182
opk_vce_Mean,0.0001670269696993909
kid0_2,0.0001638563501726864
short_call_ratio,7.185668500864217e-05
unan_dat_Mean,4.1837316808290836e-05
log_totcalls,0.0
mou_pead_Mean,0.0
callfwdv_Mean,0.0
complete_Mean,0.0
kid11_15,0.0
vceovr_Mean,0.0
datovr_Mean,0.0
roam_Mean,0.0
kid16_17,0.0
mou_opkd_Mean,0.0
drop_dat_Mean,0.0
blck_vce_Mean,0.0
prizm_social_one,0.0
peak_dat_Mean,0.0
totcalls,0.0
engagement_score,0.0
totmou,0.0
threeway_Mean,0.0
plcd_dat_Mean,0.0
cc_mou_Mean,0.0
recv_sms_Mean,0.0
ccrndmou_Mean,0.0
truck,0.0
